SECTION_DE,SECTION_LE,ROAD_NUMBE,ROAD_HIERA,NO_OF_LANE,SECTION_WI,SPEED_LIMI,ROAD_CLASS,ROAD_NAME,DISTRICT_N,WARD_NAME,NSG_USRN,EAST_SUSSE,Section_ID,X,Y,Route_ID,Zone
Old Beacon Road (Part),35,U5986,M105,2,6.5,60,RU,OLD BEACON ROAD,1 Lewes,Ditchling,23300473,4b,1440U5986_/0015,0,956,937,5
Old Beacon Road (Part),68,U5986,M105,2,6.5,60,RU,OLD BEACON ROAD,1 Lewes,Ditchling,23300473,4b,1440U5986_/0010,0,891,747,5
OLD CEMENT WORKS ROAD,322,U5059,M105,2,6.5,30,UU,THE HOLLOW,1 Lewes,South Heighton,23301392,4b,1440U5059_/0010,0,996,812,9
Old Common Way,8,U7516,M105,1,0,0,UU,Old Common Way,3 Wealden,Uckfield,42702870,4b,1440U7516_/0072,0,157,121,14
Old Common Way,10,U7516,M105,1,0,0,UU,Old Common Way,3 Wealden,Uckfield,42702868,4b,1440U7516_/0075,0,130,845,14
Old Common Way,178,U7516,M105,1,0,0,UU,Old Common Way,3 Wealden,Uckfield,42702868,4b,1440U7516_/0070,0,691,626,14
Old Common Way,272,U7516,M105,1,0,0,UU,Old Common Way,3 Wealden,Uckfield,42702868,4b,1440U7516_/0060,0,419,894,14
Old Farm Road (Part),68,U7518,M105,2,6.5,60,RU,BRADFORDS LANE,3 Wealden,Little Horsted,42701020,4b,1440U7518_/0030,0,391,818,13
Old Farm Road (Part),1626,U7518,M105,2,6.5,60,RU,BRADFORDS LANE,3 Wealden,Little Horsted,42701020,4b,1440U7518_/0020,0,996,188,13
Old Forge Lane,1173,U7856,M105,2,6.5,60,RU,OLD FORGE LANE,3 Wealden,Maresfield,42700502,4b,1440U7856_/0010,0,676,683,3
OLD HEATH CLOSE,50,U7408,M105,2,6.5,60,RU,OLD HEATH CLOSE,3 Wealden,East Hoathly with Halland,42702239,4b,1440U7408F/0010,0,1,856,15
OLD HEATH CLOSE - OLD HEATH CLOSE,21,U7408,M105,2,6.5,60,RU,OLD HEATH CLOSE,3 Wealden,East Hoathly with Halland,42702239,4b,1440U7408F/0020,0,1,243,15
Old Malling Way,1054,U5128,M105,2,6.5,30,UU,OLD MALLING WAY,1 Lewes,Lewes,23300304,4b,1440U5128_/0010,0,996,561,7
Old Malling Way - Old Malling Way,164,U5128,M105,2,6.5,30,UU,OLD MALLING WAY,1 Lewes,Lewes,23300304,4b,1440U5128_/0012,0,1,101,7
Old Nursery Close,145,U5325,M105,2,6.5,30,UU,OLD NURSERY CLOSE,1 Lewes,Seaford,23301704,4b,1440U5325_/0010,0,756,654,10
Old School Close (Part),46,U5642,M105,2,6.5,60,RU,OLD SCHOOL CLOSE,1 Lewes,Ringmer,23301221,4b,1440U5642_/0020,0,631,753,13
Old School Close (Part),51,U5642,M105,2,6.5,60,RU,OLD SCHOOL CLOSE,1 Lewes,Ringmer,23301221,4b,1440U5642_/0025,0,76,375,13
OLD WILLINGDON ROAD,1027,U7094,M105,2,6.5,60,RU,OLD WILLINGDON ROAD,3 Wealden,East Dean and Friston,42701655,4b,1440U7094_/0020,0,716,414,11
Oldaker Road - Oldaker Road,30,U5685,M105,2,6.5,60,RU,OLDAKER ROAD,1 Lewes,Newick,23300600,4b,1440U5685_/0057,0,1,577,4
Oldaker Road (Part),42,U5685,M105,2,6.5,60,RU,OLDAKER ROAD,1 Lewes,Newick,23300600,4b,1440U5685_/0055,0,1,960,4
Oldaker Road (Part),559,U5685,M105,2,6.5,60,RU,OLDAKER ROAD,1 Lewes,Newick,23300600,4b,1440U5685_/0050,0,996,77,4
Oldlands Hill,661,U7853,M105,2,6.5,60,RU,OLDLANDS HILL,3 Wealden,Maresfield,42702211,4b,1440U7853_/0040,0,1,697,3
Olives Meadow (Part),39,U7514,M105,2,6.5,30,UU,OLIVES MEADOW,3 Wealden,Uckfield,42700031,4b,1440U7514_/0065,0,231,349,14
Olives Meadow (Part),236,U7514,M105,2,6.5,30,UU,OLIVES MEADOW,3 Wealden,Uckfield,42700031,4b,1440U7514_/0060,0,981,752,14
Orchard Close - Orchard Close,44,U7853,M105,2,6.5,60,RU,ORCHARD CLOSE,3 Wealden,Maresfield,42702149,4b,1440U7853_/0032,0,786,320,3
Orchard Road,270,U5134,M105,2,6.5,30,UU,ORCHARD ROAD,1 Lewes,Lewes,23300133,4b,1440U5134_/0070,0,6,612,7
OSPREY DRIVE - OSPREY DRIVE,14,U7820,M105,2,6.5,30,UU,OSPREY DRIVE,3 Wealden,Uckfield,42702538,4b,1440U7820T/0069,0,996,973,14
OSPREY DRIVE - OSPREY DRIVE,69,U7820,M105,2,6.5,30,UU,OSPREY DRIVE,3 Wealden,Uckfield,42702538,4b,1440U7820T/0067,0,1,834,14
OSPREY DRIVE - OSPREY DRIVE,119,U7820,M105,2,6.5,30,UU,OSPREY DRIVE,3 Wealden,Uckfield,42702538,4b,1440U7820T/0060,0,1,404,14
Ousedale Close,80,U5110,M105,2,6.5,30,UU,OUSEDALE CLOSE,1 Lewes,Lewes,23300030,4b,1440U5110_/0050,0,491,503,7
Outlook Avenue - Outlook  Avenue,24,U5594,M105,2,3.78,30,UU,OUTLOOK AVENUE,1 Lewes,Peacehaven,23301235,4b,1440U5594_/0010,0,61,316,8
Owen Williams Roundabout,35,U5137,M105,2,8,30,UU,SOUTHDOWNS ROAD,1 Lewes,Lewes,23300308,4b,1440U5137_/0025,0,576,173,7
Paddock Road (One way),482,U5114,M105,2,6.5,30,UU,PADDOCK ROAD,1 Lewes,Lewes,23301443,4b,1440U5114_/0010,0,1,831,7
Palehouse Common Road,2435,U7512,M105,2,6.5,60,RU,PALEHOUSE COMMON,3 Wealden,Framfield,42700101,4b,1440U7512_/0010,0,381,704,15
PARK AVENUE,120,U5828,M105,2,6.5,30,UU,PARK AVENUE,1 Lewes,Telscombe,23300229,4b,1440U5828_/0010,0,1,38,8
PARK DRIVE CLOSE,146,U5781,M105,2,6.5,30,UU,PARK DRIVE CLOSE,1 Lewes,Newhaven,23301081,4b,1440U5781_/0010,0,1,738,9
Park Road,132,U5111,M105,2,6.5,30,UU,PARK ROAD,1 Lewes,Lewes,23300023,4b,1440U5111_/0020,0,6,644,7
PARK ROAD,129,U5478,M105,2,6.5,30,UU,PARK ROAD,1 Lewes,Seaford,23300832,4b,1440U5478_/0040,0,6,888,10
Park Street (north),35,U5047,M105,2,6.5,60,RU,PARK STREET NORTH,1 Lewes,Falmer,23300958,4b,1440U5047_/0050,0,241,210,7
Park Street (north),105,U5047,M105,2,6.5,60,RU,PARK STREET NORTH,1 Lewes,Falmer,23300958,4b,1440U5047_/0040,0,476,976,7
Park Street (south),309,U5048,M105,2,6.5,60,RU,PARK STREET,1 Lewes,Falmer,23300951,4b,1440U5048_/0010,0,291,648,7
Park View,126,U7458,M105,2,6.5,60,RU,PARK VIEW,3 Wealden,Buxted,42700137,4b,1440U7458_/0015,0,571,938,15
Park View,213,U7458,M105,2,6.5,60,RU,PARK VIEW,3 Wealden,Buxted,42700137,4b,1440U7458_/0010,0,936,228,15
PARK VIEW CLOSE,53,U5829,M105,2,6.5,30,UU,PARK VIEW CLOSE,1 Lewes,Telscombe,23301387,4b,1440U5829_/0020,0,1,431,8
PARK VIEW RISE,67,U5829,M105,2,6.5,30,UU,PARK VIEW RISE,1 Lewes,Telscombe,23300230,4b,1440U5829_/0010,0,821,648,8
Park View Road,130,U7769,M105,2,6.5,30,UU,PARKVIEW ROAD,3 Wealden,Uckfield,42701873,4b,1440U7769_/0020,0,1,619,14
Parklands - Parklands,121,U7767,M105,2,6.5,60,RU,PARKLANDS,3 Wealden,Maresfield,42700526,4b,1440U7767_/0013,0,636,475,3
Parklands (Part),55,U7767,M105,2,6.5,60,RU,PARKLANDS,3 Wealden,Maresfield,42700526,4b,1440U7767_/0016,0,786,33,3
Parklands (Part),94,U7767,M105,2,6.5,60,RU,PARKLANDS,3 Wealden,Maresfield,42700526,4b,1440U7767_/0020,0,776,779,3
Parklands (Part),429,U7767,M105,2,6.5,60,RU,PARKLANDS,3 Wealden,Maresfield,42700526,4b,1440U7767_/0010,0,506,622,3
PARKSIDE ROAD,85,U5438,M105,2,6.5,30,UU,PARKSIDE ROAD,1 Lewes,Seaford,23300703,4b,1440U5438_/0010,0,971,511,10
PAYNSBRIDGE WAY,253,U7345,M105,2,6.5,60,RU,PAYNESBRIDGE WAY,3 Wealden,Horam,42700894,4b,1440U7345_/0010,0,26,702,16
