Section_ID,Chainage,_1000,_2000,_3000,_4000,SectionID,Direction,StartCh,EndCh,Length
Section,411.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,412.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,413.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,414.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,414.0,0,0,0,7,1440U5060_/0010,R,280,300,20
Section,415.0,0,0,0,7,1440U5060_/0010,R,280,300,20
Section,416.0,0,0,0,7,1440U5060_/0010,R,280,300,20
Section,417.0,0,0,0,7,1440U5060_/0010,R,280,300,20
Section,418.0,0,0,0,7,1440U5060_/0010,R,280,300,20
Section,419.0,0,0,0,7,1440U5060_/0010,R,280,300,20
Section,420.0,0,0,0,7,1440U5060_/0010,R,280,300,20
Section,421.0,0,0,0,7,1440U5060_/0010,R,280,300,20
Section,422.0,0,0,0,7,1440U5060_/0010,R,280,300,20
Section,423.0,0,8,0,7,1440U5060_/0010,R,280,300,20
Section,424.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,425.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,426.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,427.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,428.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,429.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,430.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,431.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,432.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,433.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,434.0,0,8,0,0,1440U5060_/0010,R,280,300,20
Section,434.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,435.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,436.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,437.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,438.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,439.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,440.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,441.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,442.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,443.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,444.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,445.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,446.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,447.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,448.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,449.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,450.0,0,8,0,0,1440U5060_/0010,R,300,320,20
Section,451.0,0,8,0,0,1440U5060_/0010,R,300,320,20
